victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A05_t1_s2,A05_t1,craft-A05_t1,A05,1,2
A05_t1_s3,A05_t1,craft-A05_t1,A05,1,3
A05_t1_s4,A05_t1,craft-A05_t1,A05,1,4
A05_t1_s5,A05_t1,craft-A05_t1,A05,1,5
A05_t2_s0,A05_t2,craft-A05_t2,A05,2,0
A05_t2_s1,A05_t2,craft-A05_t2,A05,2,1
A05_t2_s2,A05_t2,craft-A05_t2,A05,2,2
A05_t2_s3,A05_t2,craft-A05_t2,A05,2,3
A05_t2_s4,A05_t2,craft-A05_t2,A05,2,4
A05_t2_s5,A05_t2,craft-A05_t2,A05,2,5
A05_t3_s0,A05_t3,craft-A05_t3,A05,3,0
A05_t3_s1,A05_t3,craft-A05_t3,A05,3,1
A05_t3_s2,A05_t3,craft-A05_t3,A05,3,2
A05_t3_s3,A05_t3,craft-A05_t3,A05,3,3
A05_t3_s4,A05_t3,craft-A05_t3,A05,3,4
A05_t3_s5,A05_t3,craft-A05_t3,A05,3,5
A05_t4_s0,A05_t4,craft-A05_t4,A05,4,0
A05_t4_s1,A05_t4,craft-A05_t4,A05,4,1
A05_t4_s2,A05_t4,craft-A05_t4,A05,4,2
A05_t4_s3,A05_t4,craft-A05_t4,A05,4,3
A05_t4_s4,A05_t4,craft-A05_t4,A05,4,4
A05_t4_s5,A05_t4,craft-A05_t4,A05,4,5
A05_t5_s0,A05_t5,craft-A05_t5,A05,5,0
A05_t5_s1,A05_t5,craft-A05_t5,A05,5,1
A05_t5_s2,A05_t5,craft-A05_t5,A05,5,2
A05_t5_s3,A05_t5,craft-A05_t5,A05,5,3
A05_t5_s4,A05_t5,craft-A05_t5,A05,5,4
A05_t5_s5,A05_t5,craft-A05_t5,A05,5,5
A05_t6_s0,A05_t6,craft-A05_t6,A05,6,0
A05_t6_s1,A05_t6,craft-A05_t6,A05,6,1
A05_t6_s2,A05_t6,craft-A05_t6,A05,6,2
A05_t6_s3,A05_t6,craft-A05_t6,A05,6,3
A05_t6_s4,A05_t6,craft-A05_t6,A05,6,4
A05_t6_s5,A05_t6,craft-A05_t6,A05,6,5
A05_t7_s0,A05_t7,craft-A05_t7,A05,7,0
A05_t7_s1,A05_t7,craft-A05_t7,A05,7,1
A05_t7_s2,A05_t7,craft-A05_t7,A05,7,2
A05_t7_s3,A05_t7,craft-A05_t7,A05,7,3
A05_t7_s4,A05_t7,craft-A05_t7,A05,7,4
A05_t7_s5,A05_t7,craft-A05_t7,A05,7,5
A05_t8_s0,A05_t8,craft-A05_t8,A05,8,0
A05_t8_s1,A05_t8,craft-A05_t8,A05,8,1
A05_t8_s2,A05_t8,craft-A05_t8,A05,8,2
A05_t8_s3,A05_t8,craft-A05_t8,A05,8,3
A05_t8_s4,A05_t8,craft-A05_t8,A05,8,4
A05_t8_s5,A05_t8,craft-A05_t8,A05,8,5
A05_t9_s0,A05_t9,craft-A05_t9,A05,9,0
A05_t9_s1,A05_t9,craft-A05_t9,A05,9,1
A05_t9_s2,A05_t9,craft-A05_t9,A05,9,2
A05_t9_s3,A05_t9,craft-A05_t9,A05,9,3
