cell_id,arch,target_class,poison_class,ytargetadv,target_id,npoison,ncraftstep,nreplay,objective,note
A14_t1,VGG13BN,2,5,5,1,2500,61,6,cwT,fig4-dogbird-VGG13BN-npoison2500-target1
A14_t2,VGG13BN,2,5,5,2,2500,61,6,cwT,fig4-dogbird-VGG13BN-npoison2500-target2
A14_t3,VGG13BN,2,5,5,3,2500,61,6,cwT,fig4-dogbird-VGG13BN-npoison2500-target3
A14_t4,VGG13BN,2,5,5,4,2500,61,6,cwT,fig4-dogbird-VGG13BN-npoison2500-target4
A14_t5,VGG13BN,2,5,5,5,2500,61,6,cwT,fig4-dogbird-VGG13BN-npoison2500-target5
A14_t6,VGG13BN,2,5,5,6,2500,61,6,cwT,fig4-dogbird-VGG13BN-npoison2500-target6
A14_t7,VGG13BN,2,5,5,7,2500,61,6,cwT,fig4-dogbird-VGG13BN-npoison2500-target7
A14_t8,VGG13BN,2,5,5,8,2500,61,6,cwT,fig4-dogbird-VGG13BN-npoison2500-target8
A14_t9,VGG13BN,2,5,5,9,2500,61,6,cwT,fig4-dogbird-VGG13BN-npoison2500-target9
A15_t1,VGG13BN,2,5,5,1,5000,61,6,cwT,fig4-dogbird-VGG13BN-npoison5000-target1
A15_t2,VGG13BN,2,5,5,2,5000,61,6,cwT,fig4-dogbird-VGG13BN-npoison5000-target2
A15_t3,VGG13BN,2,5,5,3,5000,61,6,cwT,fig4-dogbird-VGG13BN-npoison5000-target3
A15_t4,VGG13BN,2,5,5,4,5000,61,6,cwT,fig4-dogbird-VGG13BN-npoison5000-target4
A15_t5,VGG13BN,2,5,5,5,5000,61,6,cwT,fig4-dogbird-VGG13BN-npoison5000-target5
A15_t6,VGG13BN,2,5,5,6,5000,61,6,cwT,fig4-dogbird-VGG13BN-npoison5000-target6
A15_t7,VGG13BN,2,5,5,7,5000,61,6,cwT,fig4-dogbird-VGG13BN-npoison5000-target7
A15_t8,VGG13BN,2,5,5,8,5000,61,6,cwT,fig4-dogbird-VGG13BN-npoison5000-target8
A15_t9,VGG13BN,2,5,5,9,5000,61,6,cwT,fig4-dogbird-VGG13BN-npoison5000-target9
A16_t1,VGG13BN,0,6,6,1,5,61,6,cwT,fig4-frogplane-VGG13BN-npoison5-target1
A16_t2,VGG13BN,0,6,6,2,5,61,6,cwT,fig4-frogplane-VGG13BN-npoison5-target2
A16_t3,VGG13BN,0,6,6,3,5,61,6,cwT,fig4-frogplane-VGG13BN-npoison5-target3
A16_t4,VGG13BN,0,6,6,4,5,61,6,cwT,fig4-frogplane-VGG13BN-npoison5-target4
A16_t5,VGG13BN,0,6,6,5,5,61,6,cwT,fig4-frogplane-VGG13BN-npoison5-target5
A16_t6,VGG13BN,0,6,6,6,5,61,6,cwT,fig4-frogplane-VGG13BN-npoison5-target6
A16_t7,VGG13BN,0,6,6,7,5,61,6,cwT,fig4-frogplane-VGG13BN-npoison5-target7
A16_t8,VGG13BN,0,6,6,8,5,61,6,cwT,fig4-frogplane-VGG13BN-npoison5-target8
A16_t9,VGG13BN,0,6,6,9,5,61,6,cwT,fig4-frogplane-VGG13BN-npoison5-target9
A17_t1,VGG13BN,0,6,6,1,50,61,6,cwT,fig4-frogplane-VGG13BN-npoison50-target1
A17_t2,VGG13BN,0,6,6,2,50,61,6,cwT,fig4-frogplane-VGG13BN-npoison50-target2
A17_t3,VGG13BN,0,6,6,3,50,61,6,cwT,fig4-frogplane-VGG13BN-npoison50-target3
A17_t4,VGG13BN,0,6,6,4,50,61,6,cwT,fig4-frogplane-VGG13BN-npoison50-target4
A17_t5,VGG13BN,0,6,6,5,50,61,6,cwT,fig4-frogplane-VGG13BN-npoison50-target5
A17_t6,VGG13BN,0,6,6,6,50,61,6,cwT,fig4-frogplane-VGG13BN-npoison50-target6
A17_t7,VGG13BN,0,6,6,7,50,61,6,cwT,fig4-frogplane-VGG13BN-npoison50-target7
A17_t8,VGG13BN,0,6,6,8,50,61,6,cwT,fig4-frogplane-VGG13BN-npoison50-target8
A17_t9,VGG13BN,0,6,6,9,50,61,6,cwT,fig4-frogplane-VGG13BN-npoison50-target9
A18_t1,VGG13BN,0,6,6,1,500,61,6,cwT,fig4-frogplane-VGG13BN-npoison500-target1
A18_t2,VGG13BN,0,6,6,2,500,61,6,cwT,fig4-frogplane-VGG13BN-npoison500-target2
A18_t3,VGG13BN,0,6,6,3,500,61,6,cwT,fig4-frogplane-VGG13BN-npoison500-target3
A18_t4,VGG13BN,0,6,6,4,500,61,6,cwT,fig4-frogplane-VGG13BN-npoison500-target4
A18_t5,VGG13BN,0,6,6,5,500,61,6,cwT,fig4-frogplane-VGG13BN-npoison500-target5
A18_t6,VGG13BN,0,6,6,6,500,61,6,cwT,fig4-frogplane-VGG13BN-npoison500-target6
A18_t7,VGG13BN,0,6,6,7,500,61,6,cwT,fig4-frogplane-VGG13BN-npoison500-target7
A18_t8,VGG13BN,0,6,6,8,500,61,6,cwT,fig4-frogplane-VGG13BN-npoison500-target8
A18_t9,VGG13BN,0,6,6,9,500,61,6,cwT,fig4-frogplane-VGG13BN-npoison500-target9
A19_t1,VGG13BN,0,6,6,1,2500,61,6,cwT,fig4-frogplane-VGG13BN-npoison2500-target1
A19_t2,VGG13BN,0,6,6,2,2500,61,6,cwT,fig4-frogplane-VGG13BN-npoison2500-target2
A19_t3,VGG13BN,0,6,6,3,2500,61,6,cwT,fig4-frogplane-VGG13BN-npoison2500-target3
A19_t4,VGG13BN,0,6,6,4,2500,61,6,cwT,fig4-frogplane-VGG13BN-npoison2500-target4
A19_t5,VGG13BN,0,6,6,5,2500,61,6,cwT,fig4-frogplane-VGG13BN-npoison2500-target5
A19_t6,VGG13BN,0,6,6,6,2500,61,6,cwT,fig4-frogplane-VGG13BN-npoison2500-target6
A19_t7,VGG13BN,0,6,6,7,2500,61,6,cwT,fig4-frogplane-VGG13BN-npoison2500-target7
A19_t8,VGG13BN,0,6,6,8,2500,61,6,cwT,fig4-frogplane-VGG13BN-npoison2500-target8
A19_t9,VGG13BN,0,6,6,9,2500,61,6,cwT,fig4-frogplane-VGG13BN-npoison2500-target9
A20_t1,VGG13BN,0,6,6,1,5000,61,6,cwT,fig4-frogplane-VGG13BN-npoison5000-target1
A20_t2,VGG13BN,0,6,6,2,5000,61,6,cwT,fig4-frogplane-VGG13BN-npoison5000-target2
A20_t3,VGG13BN,0,6,6,3,5000,61,6,cwT,fig4-frogplane-VGG13BN-npoison5000-target3
A20_t4,VGG13BN,0,6,6,4,5000,61,6,cwT,fig4-frogplane-VGG13BN-npoison5000-target4
A20_t5,VGG13BN,0,6,6,5,5000,61,6,cwT,fig4-frogplane-VGG13BN-npoison5000-target5
A20_t6,VGG13BN,0,6,6,6,5000,61,6,cwT,fig4-frogplane-VGG13BN-npoison5000-target6
A20_t7,VGG13BN,0,6,6,7,5000,61,6,cwT,fig4-frogplane-VGG13BN-npoison5000-target7
A20_t8,VGG13BN,0,6,6,8,5000,61,6,cwT,fig4-frogplane-VGG13BN-npoison5000-target8
A20_t9,VGG13BN,0,6,6,9,5000,61,6,cwT,fig4-frogplane-VGG13BN-npoison5000-target9
A21_t1,ResNet,2,5,5,1,5,61,6,cwT,fig4-dogbird-ResNet-npoison5-target1
A21_t2,ResNet,2,5,5,2,5,61,6,cwT,fig4-dogbird-ResNet-npoison5-target2
A21_t3,ResNet,2,5,5,3,5,61,6,cwT,fig4-dogbird-ResNet-npoison5-target3
A21_t4,ResNet,2,5,5,4,5,61,6,cwT,fig4-dogbird-ResNet-npoison5-target4
A21_t5,ResNet,2,5,5,5,5,61,6,cwT,fig4-dogbird-ResNet-npoison5-target5
A21_t6,ResNet,2,5,5,6,5,61,6,cwT,fig4-dogbird-ResNet-npoison5-target6
A21_t7,ResNet,2,5,5,7,5,61,6,cwT,fig4-dogbird-ResNet-npoison5-target7
A21_t8,ResNet,2,5,5,8,5,61,6,cwT,fig4-dogbird-ResNet-npoison5-target8
A21_t9,ResNet,2,5,5,9,5,61,6,cwT,fig4-dogbird-ResNet-npoison5-target9
A22_t1,ResNet,2,5,5,1,50,61,6,cwT,fig4-dogbird-ResNet-npoison50-target1
A22_t2,ResNet,2,5,5,2,50,61,6,cwT,fig4-dogbird-ResNet-npoison50-target2
A22_t3,ResNet,2,5,5,3,50,61,6,cwT,fig4-dogbird-ResNet-npoison50-target3
A22_t4,ResNet,2,5,5,4,50,61,6,cwT,fig4-dogbird-ResNet-npoison50-target4
A22_t5,ResNet,2,5,5,5,50,61,6,cwT,fig4-dogbird-ResNet-npoison50-target5
A22_t6,ResNet,2,5,5,6,50,61,6,cwT,fig4-dogbird-ResNet-npoison50-target6
A22_t7,ResNet,2,5,5,7,50,61,6,cwT,fig4-dogbird-ResNet-npoison50-target7
A22_t8,ResNet,2,5,5,8,50,61,6,cwT,fig4-dogbird-ResNet-npoison50-target8
A22_t9,ResNet,2,5,5,9,50,61,6,cwT,fig4-dogbird-ResNet-npoison50-target9
A23_t1,ResNet,2,5,5,1,500,61,6,cwT,fig4-dogbird-ResNet-npoison500-target1
A23_t2,ResNet,2,5,5,2,500,61,6,cwT,fig4-dogbird-ResNet-npoison500-target2
A23_t3,ResNet,2,5,5,3,500,61,6,cwT,fig4-dogbird-ResNet-npoison500-target3
A23_t4,ResNet,2,5,5,4,500,61,6,cwT,fig4-dogbird-ResNet-npoison500-target4
A23_t5,ResNet,2,5,5,5,500,61,6,cwT,fig4-dogbird-ResNet-npoison500-target5
A23_t6,ResNet,2,5,5,6,500,61,6,cwT,fig4-dogbird-ResNet-npoison500-target6
A23_t7,ResNet,2,5,5,7,500,61,6,cwT,fig4-dogbird-ResNet-npoison500-target7
A23_t8,ResNet,2,5,5,8,500,61,6,cwT,fig4-dogbird-ResNet-npoison500-target8
A23_t9,ResNet,2,5,5,9,500,61,6,cwT,fig4-dogbird-ResNet-npoison500-target9
A24_t1,ResNet,2,5,5,1,2500,61,6,cwT,fig4-dogbird-ResNet-npoison2500-target1
A24_t2,ResNet,2,5,5,2,2500,61,6,cwT,fig4-dogbird-ResNet-npoison2500-target2
A24_t3,ResNet,2,5,5,3,2500,61,6,cwT,fig4-dogbird-ResNet-npoison2500-target3
A24_t4,ResNet,2,5,5,4,2500,61,6,cwT,fig4-dogbird-ResNet-npoison2500-target4
A24_t5,ResNet,2,5,5,5,2500,61,6,cwT,fig4-dogbird-ResNet-npoison2500-target5
A24_t6,ResNet,2,5,5,6,2500,61,6,cwT,fig4-dogbird-ResNet-npoison2500-target6
A24_t7,ResNet,2,5,5,7,2500,61,6,cwT,fig4-dogbird-ResNet-npoison2500-target7
A24_t8,ResNet,2,5,5,8,2500,61,6,cwT,fig4-dogbird-ResNet-npoison2500-target8
A24_t9,ResNet,2,5,5,9,2500,61,6,cwT,fig4-dogbird-ResNet-npoison2500-target9
A25_t1,ResNet,2,5,5,1,5000,61,6,cwT,fig4-dogbird-ResNet-npoison5000-target1
A25_t2,ResNet,2,5,5,2,5000,61,6,cwT,fig4-dogbird-ResNet-npoison5000-target2
A25_t3,ResNet,2,5,5,3,5000,61,6,cwT,fig4-dogbird-ResNet-npoison5000-target3
A25_t4,ResNet,2,5,5,4,5000,61,6,cwT,fig4-dogbird-ResNet-npoison5000-target4
A25_t5,ResNet,2,5,5,5,5000,61,6,cwT,fig4-dogbird-ResNet-npoison5000-target5
A25_t6,ResNet,2,5,5,6,5000,61,6,cwT,fig4-dogbird-ResNet-npoison5000-target6
A25_t7,ResNet,2,5,5,7,5000,61,6,cwT,fig4-dogbird-ResNet-npoison5000-target7
A25_t8,ResNet,2,5,5,8,5000,61,6,cwT,fig4-dogbird-ResNet-npoison5000-target8
A25_t9,ResNet,2,5,5,9,5000,61,6,cwT,fig4-dogbird-ResNet-npoison5000-target9
A26_t1,ResNet,0,6,6,1,5,61,6,cwT,fig4-frogplane-ResNet-npoison5-target1
A26_t2,ResNet,0,6,6,2,5,61,6,cwT,fig4-frogplane-ResNet-npoison5-target2
A26_t3,ResNet,0,6,6,3,5,61,6,cwT,fig4-frogplane-ResNet-npoison5-target3
A26_t4,ResNet,0,6,6,4,5,61,6,cwT,fig4-frogplane-ResNet-npoison5-target4
A26_t5,ResNet,0,6,6,5,5,61,6,cwT,fig4-frogplane-ResNet-npoison5-target5
A26_t6,ResNet,0,6,6,6,5,61,6,cwT,fig4-frogplane-ResNet-npoison5-target6
A26_t7,ResNet,0,6,6,7,5,61,6,cwT,fig4-frogplane-ResNet-npoison5-target7
A26_t8,ResNet,0,6,6,8,5,61,6,cwT,fig4-frogplane-ResNet-npoison5-target8
A26_t9,ResNet,0,6,6,9,5,61,6,cwT,fig4-frogplane-ResNet-npoison5-target9
A27_t1,ResNet,0,6,6,1,50,61,6,cwT,fig4-frogplane-ResNet-npoison50-target1
A27_t2,ResNet,0,6,6,2,50,61,6,cwT,fig4-frogplane-ResNet-npoison50-target2
A27_t3,ResNet,0,6,6,3,50,61,6,cwT,fig4-frogplane-ResNet-npoison50-target3
A27_t4,ResNet,0,6,6,4,50,61,6,cwT,fig4-frogplane-ResNet-npoison50-target4
A27_t5,ResNet,0,6,6,5,50,61,6,cwT,fig4-frogplane-ResNet-npoison50-target5
A27_t6,ResNet,0,6,6,6,50,61,6,cwT,fig4-frogplane-ResNet-npoison50-target6
A27_t7,ResNet,0,6,6,7,50,61,6,cwT,fig4-frogplane-ResNet-npoison50-target7
A27_t8,ResNet,0,6,6,8,50,61,6,cwT,fig4-frogplane-ResNet-npoison50-target8
A27_t9,ResNet,0,6,6,9,50,61,6,cwT,fig4-frogplane-ResNet-npoison50-target9
