victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A20_t1_s1,A20_t1,craft-A20_t1,A20,1,1
A20_t1_s2,A20_t1,craft-A20_t1,A20,1,2
A20_t1_s3,A20_t1,craft-A20_t1,A20,1,3
A20_t1_s4,A20_t1,craft-A20_t1,A20,1,4
A20_t1_s5,A20_t1,craft-A20_t1,A20,1,5
A20_t2_s0,A20_t2,craft-A20_t2,A20,2,0
A20_t2_s1,A20_t2,craft-A20_t2,A20,2,1
A20_t2_s2,A20_t2,craft-A20_t2,A20,2,2
A20_t2_s3,A20_t2,craft-A20_t2,A20,2,3
A20_t2_s4,A20_t2,craft-A20_t2,A20,2,4
A20_t2_s5,A20_t2,craft-A20_t2,A20,2,5
A21_t1_s0,A21_t1,craft-A21_t1,A21,1,0
A21_t1_s1,A21_t1,craft-A21_t1,A21,1,1
A21_t1_s2,A21_t1,craft-A21_t1,A21,1,2
A21_t1_s3,A21_t1,craft-A21_t1,A21,1,3
A21_t1_s4,A21_t1,craft-A21_t1,A21,1,4
A21_t1_s5,A21_t1,craft-A21_t1,A21,1,5
A21_t2_s0,A21_t2,craft-A21_t2,A21,2,0
A21_t2_s1,A21_t2,craft-A21_t2,A21,2,1
A21_t2_s2,A21_t2,craft-A21_t2,A21,2,2
A21_t2_s3,A21_t2,craft-A21_t2,A21,2,3
A21_t2_s4,A21_t2,craft-A21_t2,A21,2,4
A21_t2_s5,A21_t2,craft-A21_t2,A21,2,5
A22_t1_s0,A22_t1,craft-A22_t1,A22,1,0
A22_t1_s1,A22_t1,craft-A22_t1,A22,1,1
A22_t1_s2,A22_t1,craft-A22_t1,A22,1,2
A22_t1_s3,A22_t1,craft-A22_t1,A22,1,3
A22_t1_s4,A22_t1,craft-A22_t1,A22,1,4
A22_t1_s5,A22_t1,craft-A22_t1,A22,1,5
A22_t2_s0,A22_t2,craft-A22_t2,A22,2,0
A22_t2_s1,A22_t2,craft-A22_t2,A22,2,1
A22_t2_s2,A22_t2,craft-A22_t2,A22,2,2
A22_t2_s3,A22_t2,craft-A22_t2,A22,2,3
A22_t2_s4,A22_t2,craft-A22_t2,A22,2,4
A22_t2_s5,A22_t2,craft-A22_t2,A22,2,5
A23_t1_s0,A23_t1,craft-A23_t1,A23,1,0
A23_t1_s1,A23_t1,craft-A23_t1,A23,1,1
A23_t1_s2,A23_t1,craft-A23_t1,A23,1,2
A23_t1_s3,A23_t1,craft-A23_t1,A23,1,3
A23_t1_s4,A23_t1,craft-A23_t1,A23,1,4
A23_t1_s5,A23_t1,craft-A23_t1,A23,1,5
A23_t2_s0,A23_t2,craft-A23_t2,A23,2,0
A23_t2_s1,A23_t2,craft-A23_t2,A23,2,1
A23_t2_s2,A23_t2,craft-A23_t2,A23,2,2
A23_t2_s3,A23_t2,craft-A23_t2,A23,2,3
A23_t2_s4,A23_t2,craft-A23_t2,A23,2,4
A23_t2_s5,A23_t2,craft-A23_t2,A23,2,5
A24_t1_s0,A24_t1,craft-A24_t1,A24,1,0
A24_t1_s1,A24_t1,craft-A24_t1,A24,1,1
A24_t1_s2,A24_t1,craft-A24_t1,A24,1,2
